تَبَوُّؤٌ, مصدر,تَبَوَّأَ,مذكر,مفرد,
تَبَلْبُلٌ, مصدر,تبلبل,مذكر,مفرد,
تَأْسِيسٌ, مصدر,أسس,مذكر,مفرد,
تَمَحُّصٌ,مصدر,تَمَحَّصَ,مذكر,مفرد,
جُرْحٌ,مصدر,جَرَحَ,مذكر,مفرد,
جِرَاحٌ,مصدر,جَرَحَ,مؤنث,جمع,
أَجْرَاحٌ,مصدر,جَرَحَ,مؤنث,جمع,
جِرَاحَاتٌ,مصدر,جَرَحَ,مؤنث,جمع,
رِيٌّ,اسم المصدر,ارْتَوَى,مذكر,مفرد,
بَيْعٌ,مصدر,باعَ,مذكر,مفرد,
بُيوعٌ,مصدر,باعَ,مؤنث,جمع,
عِلْمٌ, مصدر,عَلِمَ,مذكر,مفرد,
عُلُومٌ, مصدر,عَلِمَ,مؤنث,جمع,
دَرَكٌ,اسم المصدر,الإدْرَاكِ,مذكر,مفرد,
صَحْوَةٌ,اسم المرة,الصَّحْوِ,مؤنث,مفرد,
غَلْطَةٌ,اسم المرة,الغَلَطِ,مؤنث,مفرد,
بَتَّةٌ,اسم المرة,بَتٌّ,مؤنث,مفرد,
خَفْقَةٌ,اسم المرة,خَفَقَ,مؤنث,مفرد,
دَوْرَةٌ,اسم المرة,دارَ,مؤنث,مفرد,
رَوْحَةٌ,اسم المرة,راحَ,مؤنث,مفرد,
رَكْلَةٌ,اسم المرة,رَكَلَ,مؤنث,مفرد,
رَنَّةٌ,اسم المرة,رَنَّ,مؤنث,مفرد,
كَيَّةٌ,اسم المرة,كَوَى,مؤنث,مفرد,
نَجْوَةٌ,اسم المرة,نَجَا,مؤنث,مفرد,
نِجَاءٌ,اسم المرة,نَجَا,مؤنث,جمع,
نَدْوَةٌ,اسم المرة,نَدَا,مؤنث,مفرد,
مَآبٌ,مصدر,آب,مذكر,مفرد,
مَآوِبُ,مصدر,آب,مؤنث,جمع,
أوْبٌ,مصدر,آبَ,مذكر,مفرد,
إيابٌ,مصدر,آبَ,مذكر,مفرد,
إبَاتَةٌ,مصدر,أبَاتَ,مؤنث,مفرد,
إبَاحَةٌ,مصدر,أبَاحَ,مؤنث,مفرد,
إِبَادَةٌ,مصدر,أبَادَ,مؤنث,مفرد,
إِبَانَةٌ,مصدر,أبَانَ,مؤنث,مفرد,
أُبُوَّةٌ,مصدر,أبَا,NULL,NULL,
اِبْتِئَاسٌ,مصدر,اِبْتَأسَ,مذكر,مفرد,
اِبْتِيَاعٌ,مصدر,اِبْتَاعَ,مذكر,مفرد,
اِبْتِداءٌ,مصدر,اِبتدَأ,مذكر,مفرد,
اِبْتِداعٌ,مصدر,اِبْتَدَعَ,مذكر,مفرد,
اِبْتِذَالٌ,مصدر,اِبْتِذَلَ,مذكر,مفرد,
اِبْتِزَازٌ,مصدر,اِبْتَزَّ,مذكر,مفرد,
اِبْتِسَامٌ,مصدر,اِبْتَسَمَ,مذكر,مفرد,
اِبْتِعَادٌ,مصدر,اِبْتَعَدَ,مذكر,مفرد,
اِبْتِغَاءٌ,مصدر,اِبْتَغى,مذكر,مفرد,
اِبْتِكَارٌ,مصدر,اِبْتَكَرَ,مذكر,مفرد,
اِبْتِلاَعٌ,مصدر,اِبْتَلَعَ,مذكر,مفرد,
اِبْتِلاَءٌ,مصدر,اِبْتَلَى,مذكر,مفرد,
اِبْتِنَاءٌ,مصدر,اِبْتَنَى,مذكر,مفرد,
اِبْتِهَاجٌ,مصدر,اِبْتَهَجَ,مذكر,مفرد,
اِبْتِهَالٌ,مصدر,اِبْتَهَلَ,مذكر,مفرد,
إبْحَارٌ,مصدر,أبْحَرَ,مذكر,مفرد,
تَأْبِيدٌ,مصدر,أَبَّدَ,مذكر,مفرد,
أبَدٌ,مصدر,أبِدَ,مذكر,مفرد,
آبَادٌ,مصدر,أبِدَ,مؤنث,جمع,
إِبْدَاعٌ,مصدر,أبْدَعَ,مذكر,مفرد,
إبدالٌ,مصدر,أبدل,مؤنث,جمع,
إبْداءٌ,مصدر,أبْدَى,مذكر,مفرد,
إبْرَارٌ,مصدر,أبَرَّ,مذكر,مفرد,
إِبْرَاحٌ,مصدر,أَبْرَحَ,مذكر,مفرد,
إِبْرَازٌ,مصدر,أَبْرَزَ,مذكر,مفرد,
إِبْرَاقٌ,مصدر,أَبْرَقَ,مذكر,مفرد,
إبْرَامٌ,مصدر,أَبْرَمَ,مذكر,مفرد,
إبْصَارٌ,مصدر,أبْصَرَ,مذكر,مفرد,
